repo,sha,author,date,message
linguist,1466b70f10a31b7e75f7e134e0904257eea38efb,Lars Brinkhoff,2016-07-29T18:01:54Z,Merge pull request #3126 from Alhadis/roff
linguist,b87146056b785a12f4e0ba7b5581dfd4ee982a0a,Lars Brinkhoff,2016-07-29T17:58:29Z,Merge pull request #3124 from larsbrinkhoff/rexx
linguist,b29696d6848faa2243f3ab6ed87a4ddebe4d7ca1,Arfon Smith,2016-07-29T12:27:18Z,Merge pull request #3123 from sahildua2305/replace-dtrace-samples
linguist,514a8d54dbe35808d7896076c682388ce50fc0b1,Sahil Dua,2016-07-24T10:59:24Z,Add new language PowerBuilder (#3077)
linguist,abfe89d8ff14416c391b3845e5a4c5ffa192b296,Alhadis,2016-07-21T01:05:44Z,Kill orphaned submodule
linguist,22609dc2974efc08bab6888228281a76dd636731,Alhadis,2016-07-20T22:57:09Z,Add heuristic to distinguish RUNOFF from Roff
linguist,93341be3963fde93c3392ae470ed68a8d7733905,Alhadis,2016-07-20T22:41:05Z,Add language definition and samples for RUNOFF
linguist,f2ae3b622316f2903dea371896369a8370efc5bf,Alhadis,2016-07-20T21:46:33Z,Define additional extensions/names for Troff files
linguist,e84204a27468503bcdc47f80c0f0d7a3c2341c95,Alhadis,2016-07-20T21:08:51Z,Swap language grammar used for Roff highlighting
linguist,7024c7cb3794372b956f5af3cc0b393933259861,Iggy Drougge,2016-07-17T18:56:12Z,Add REXX.
linguist,91e0823b0448b7d0b2a817ccfeb96eec85fe26cf,Sahil Dua,2016-07-17T00:05:07Z,Replace DTrace sample with a premissive license
linguist,3f4b8368e81430e3353cb5ad8b781cd044697347,Arfon Smith,2016-07-14T16:16:16Z,Merge pull request #3116 from github/cut-release-v4.8.8
linguist,d9edfb70880f05b15b3d004334fefee6339ee145,Arfon Smith,2016-07-14T14:25:37Z,Merge branch 'master' into cut-release-v4.8.8
linguist,2d62a475d1ce4ae4a71413fb64477d94610b0c2b,Arfon Smith,2016-07-14T14:24:56Z,Merge pull request #3090 from pchaigno/gdb
linguist,311a687740e15b9e9281339c1fe43def9922bde2,Paul Chaignon,2016-07-14T11:20:57Z,Add zlib license for SublimeGDB
linguist,44e532c9a22d04209a8e19c9b483d776c491a1c7,Paul Chaignon,2016-07-12T18:37:22Z,Update licensee to recognize zlib license
linguist,1d48ff51d50e4e55120025033a3d18c14d1b886d,Paul Chaignon,2016-06-28T22:27:44Z,Support for GDB
linguist,5076539df51a752d048ab22ff81e586420782dd1,Arfon Smith,2016-07-13T16:42:55Z,Bumping to v4.8.8
linguist,36ba3783443275525fff7b72b633a3bccfb132cb,Arfon Smith,2016-07-13T16:39:39Z,Merge pull request #3115 from github/apollo
linguist,c1203b7dadfe8c24082000e6324463d6e1cd2d44,Arfon Smith,2016-07-13T16:35:02Z,Merge branch 'master' into apollo
linguist,fad13d901c6305d525f8ee9fb9dd87e1f5759c9a,Arfon Smith,2016-07-13T16:30:15Z,Merge pull request #3095 from larsbrinkhoff/gcc-md
linguist,1e022f53e373a89f88e27e993aa65e7a891dc613,Arfon Smith,2016-07-13T15:50:12Z,Updating Apollo to correct tm_scope
linguist,da2f4ed71190394ea579c5e26d4f863a9a2ab153,Arfon Smith,2016-07-13T15:41:15Z,Merge branch 'master' into apollo
linguist,6a7439141a65d2e51b40b4494c0fd67f6141cc71,Arfon Smith,2016-07-13T15:40:47Z,Merge pull request #3113 from larsbrinkhoff/achromatic-markdown
linguist,9fcf546ae64c5dc5e79aab009cc7f7846a6e79a0,Arfon Smith,2016-07-13T15:38:38Z,Merge branch 'master' into apollo
linguist,1f1ca3e6897ee9006185c4c294ff41b683855672,Arfon Smith,2016-07-13T15:22:29Z,Merge pull request #3105 from JamesForks/language-blade
linguist,01b14de0467c0b832b0d0c7ea4a5221779dd3d28,Lars Brinkhoff,2016-07-13T11:33:23Z,"Remove colors: GraphQL, RDoc, reStructuredText, and"
linguist,284486a2edca7cc616fdbd4de1e996734c32fe15,Lars Brinkhoff,2016-07-13T06:29:22Z,Achromaticalizise Markdown.
linguist,9fae24099c9e37981253a3a15e6d58f3bd8d1cce,chrislgarry,2016-07-13T00:20:30Z,"Add license, language grammers for agc"
linguist,2fab4045e4c78b9cde900f5eb0792ff33a0e878a,Chris Garry,2016-07-12T20:23:53Z,Add language color
linguist,05205ddbf1a51a8912ab8ff83d21366a1eca9bb9,Chris Garry,2016-07-12T19:43:37Z,Alphabetize entries
linguist,329c9a714477ce41470fc61f58ff44200c428aa5,Chris Garry,2016-07-12T18:39:34Z,Rename sample dir
linguist,80a3ea0cd9487c9b74b2439cb5ccd79f35dc07ba,Chris Garry,2016-07-12T18:36:32Z,Update language name
linguist,6c20525375d0992d1484dff1c276bb618f3e29e9,Chris Garry,2016-07-12T18:08:47Z,Add support for Apollo Guidance Computer extension
linguist,f56c31bacb0adee90b6cc52a10d4c8f7963494ff,Arfon Smith,2016-07-12T16:07:57Z,Merge pull request #3091 from cozos/master
linguist,17168d5fdc587650225815db1669673abf4e6cc3,Lars Brinkhoff,2016-06-30T10:48:08Z,"Add ""GCC Machine Description"" language."
linguist,6493b4843492975e3f414b5144d023b2f5bb37d0,Lars Brinkhoff,2016-07-11T16:30:07Z,Merge pull request #3108 from larsbrinkhoff/lean
linguist,c148ecfd9bf9609151e398f958a32b8a9bfa5367,Lars Brinkhoff,2016-07-11T12:43:32Z,Remove Lean grammar; deleted in upstream.
linguist,abbc132977739a9e332fe2efcc364075f89a13d5,James Brooks,2016-07-11T11:28:32Z,Set Blade license to MIT
linguist,b96ed4b56a27b72e39cc60268efce73188b66d53,James Brooks,2016-07-11T11:08:03Z,Switch Lean to text mode
linguist,0019f60ba7466b06922e904c929b64c837b7f450,James Brooks,2016-07-11T10:51:09Z,Fix tm_scope
linguist,a1b236ddfa5c29b5f77c0932a100acf661e21d1c,James Brooks,2016-07-11T10:22:22Z,Update samples
linguist,badcb87845e64668a27d87b611bcb37d9d82e369,Arfon Smith,2016-07-10T03:57:47Z,Merge pull request #3102 from sahildua2305/remove-gpl-samples
linguist,10be4be18f978bee5734fc0365ed56fb08bb2517,James Brooks,2016-07-07T12:41:34Z,Added Laravel Blade
linguist,59b3e48bd1fda4166664082c2b9a193d6476493b,Sahil Dua,2016-07-05T19:59:17Z,Copy license text to samples
linguist,7624eb459ff3e321323e41b68fd6a3b050ef94bd,Sahil Dua,2016-07-05T19:44:38Z,Replace .dats and .sats samples with MIT alternatives
linguist,1c7f51653452133907b00ebf03150e1cd4f69099,Sahil Dua,2016-07-05T19:44:05Z,Replace .hats GPL sample with MIT one
linguist,cba9b954162664953d219b26706817bd9928b0f0,Arfon Smith,2016-07-03T03:05:59Z,Merge pull request #3085 from sahildua2305/remove-gpl-samples
linguist,228c26948b54738f8c5e0f150e3aaceab0266379,Arfon Smith,2016-07-02T03:03:12Z,Merge pull request #3098 from pchaigno/improve-ts-heuristic
linguist,6333f397431dabbc7958b24bdc69e027b146296c,Arfon Smith,2016-07-02T01:30:29Z,Merge pull request #3088 from sahildua2305/replace-gml-gpl
linguist,68728bcc949304387c6ca43adb3c167e1ddaac4f,Sahil Dua,2016-07-01T21:55:28Z,Add .cats sample file
linguist,16bd70d84f3203eee8a67678f65c8677a0f1d331,Paul Chaignon,2016-07-01T17:17:14Z,Improve .ts heuristic rule
linguist,4361ccda32569714020b510d5fe0ef658f4bda64,Sahil Dua,2016-06-30T14:34:55Z,Updating tests corresponding to changes in samples
linguist,018922349ca3743b960cf1fb091d44f10aed8ef0,Arwin Tio,2016-06-30T11:27:19Z,Change language-babel to v2.22.0
linguist,03c674a648898a17f43a0c39d66c996a26a7d356,Arwin Tio,2016-06-28T23:37:51Z,Change language-babel to release v.2.24.4
linguist,5066f66dcd7be1f8d68cecd1f226e2b4c517963b,Paul Chaignon,2016-06-28T16:57:47Z,New interpreters from RosettaCode (#3087)
linguist,77a488376335a1c8fbc02ace150d3940ee7faec8,Paul Chaignon,2016-06-28T16:53:35Z,Support the EQ programming language (#3086)
linguist,482aa155852e7576f5418806a6fc8e2f9d5568f7,Sahil Dua,2016-06-27T21:41:57Z,Replace GPL licensed gml samples
linguist,b8892250d5b9bba3019971060fd5f3d5ca19bff6,Sahil Dua,2016-06-27T20:41:54Z,Remove deleted file name from tests
linguist,94928bc78f70799b6af5db7f3e5a7ae977d911b3,Sahil Dua,2016-06-27T20:28:44Z,Added MIT licensed .cp sample
linguist,ead63163b4e4507cac352a0600de3e1039e53b76,Sahil Dua,2016-06-27T19:41:38Z,Remove another GPL licensed C sample
linguist,265d57651037c02964a9fc7e7bc58a854b2d2ad1,Sahil Dua,2016-06-27T19:40:55Z,Replace GPL licensed C/C++ samples
linguist,a5eb6e9e153a20762ad36da8533be8fb59024519,Arfon Smith,2016-06-27T16:21:15Z,Merge pull request #3078 from sahildua2305/remove-gpl-samples
linguist,776a6a0619dbaf11a6d874da3101258b1f886e17,Arfon Smith,2016-06-27T14:39:46Z,Merge pull request #3082 from pchaigno/pascal
linguist,4514363c84b40c408bd44373d82b3a450e4a8348,Paul Chaignon,2016-06-27T10:19:25Z,.pascal file extension for Pascal
linguist,39cd635086c41de3ece1ecd92bd9b62edaadb15b,Sahil Dua,2016-06-27T06:24:36Z,Replace sample without license
linguist,71656116794a8561ae6e29299185599d82fcf7b9,Arfon Smith,2016-06-27T02:49:06Z,Merge pull request #3080 from pchaigno/scheme-interpreters
linguist,ead0593976a35f572e580a5cbf3d592e6431374f,Paul Chaignon,2016-06-26T20:30:08Z,Interpreters for Scheme
linguist,85516563f7f82cc1f82a680de48f02a1e6426e77,Sahil Dua,2016-06-25T23:47:10Z,Add another sample file for C
linguist,aa32a5f58bf4c11142d018ce57478f847a74ac5e,Sahil Dua,2016-06-25T23:44:45Z,Replace samples for C language
linguist,49cdc4a93057e414611615cf515ae46d7aefc032,Arfon Smith,2016-06-25T04:41:02Z,Merge pull request #3076 from liavt/patch-1
linguist,144a85b775fe5b24a38c8328ccc508f346e95d7e,Liav Turkia,2016-06-25T03:00:16Z,Rename it to have .ino
linguist,a02790427818b219862f9760732f0a5456bc22e1,Liav Turkia,2016-06-25T02:55:32Z,Add another .ino sample for more precision
linguist,5ac2cdde5053d3cf811a197d35af713e6330e91f,Sahil Dua,2016-06-22T05:05:28Z,Add fontello CSS files to vendor.yml (#3068)
linguist,5c705b33676bc4b224e6ec785061bede7d6a82f8,Paul Chaignon,2016-06-22T05:02:05Z,Merge pull request #3069 from Alhadis/document-colours
linguist,e78e9e47478d12e7b06c37d5444aeb418b18ea0e,Arfon Smith,2016-06-21T16:30:45Z,Merge pull request #3071 from github/cut-release-4.8.7
linguist,81f9079f43c2d4fd5eb40421ef2c212cdf6b7d69,Arfon Smith,2016-06-21T15:57:23Z,Bumping version to v4.8.7
linguist,16eaa533b6df30bee6252ae702f26c8ebf03f691,Arfon Smith,2016-06-21T15:34:05Z,Updating gitsubmodules
linguist,2e521a6c7483257f53cb740c6b8e11cd0a098c94,Arfon Smith,2016-06-21T15:28:33Z,Grammars update
linguist,62192e17e8c842144d607236f581bd6beeaa616b,Alhadis,2016-06-21T13:39:07Z,"Revert ""Add colour for PostScript"""
linguist,0b6f17c67691d4320aea313372c2476b02890875,Alhadis,2016-06-21T12:57:31Z,Add colour for PostScript
linguist,6d9b5390c4fd534e5ca92cd78e9cfa6a75f1cf6e,Alhadis,2016-06-21T12:51:01Z,Add colour for Roff source
linguist,56a65d0975352b66c0e22d89cf17dd9a6064206d,Sahil Dua,2016-06-21T12:45:37Z,Add ace-builds to vendored files (#3061)
linguist,e4c6c1d245c308cc5209eceeeb480a0a85eefb35,Paul Chaignon,2016-06-21T12:45:05Z,Remove pragma keyword from PLSQL heuristic rule (#3066)
linguist,a9f366aed204f4a11fc9bb2b872c632bee69c272,Lars Brinkhoff,2016-06-20T05:35:31Z,Merge pull request #3054 from Alhadis/srt
linguist,96bd08e391e1b4a828a27d9c4576f585d2ee92d3,Arfon Smith,2016-06-18T14:28:53Z,Adding some words about maintainers (#3051)
linguist,02fe28eb2535d781faa8617720e6276bc6957ed4,Alhadis,2016-06-16T09:50:04Z,Crank luminosity of SRecode Template language's colour
linguist,e77530b390f221b9411198bc9e30416b2aa10b81,Alhadis,2016-06-16T09:34:26Z,Classify SRecode Templates as a separate language
linguist,d0370a3b4cfbe18cea0ce17fb58ea03355737a40,Alhadis,2016-06-15T11:17:35Z,Add a heuristic to disambiguate SubRip text files
linguist,ebce4890b2db5b6c2af5911249d6451b85e589ad,Alhadis,2016-06-15T11:09:19Z,Add grammar to supply syntax highlighting for SubRip files
linguist,1bc87aadb32299c056c364d0cbf732032ef3a5ad,Alhadis,2016-06-15T11:06:45Z,Define SubRip Text language and add sample
linguist,53a532dc76ba80bea0fb3f60a3493df584154e47,Alhadis,2016-06-15T06:51:36Z,Add .srt to Emacs Lisp extensions
linguist,0669a83e403f7a094ee4e6b4cf6a17c321f50ebb,John Gardner,2016-06-15T01:54:25Z,Define TextMate grammar scope for Turing (#3053)
linguist,c4ab3b276f8fc72ad23e0ee269c25a02dea363f0,John Gardner,2016-06-14T19:16:26Z,Add syntax highlighting for Turing (#3052)
linguist,920f82549603b6d8e72bb1602bd842a784961529,John Gardner,2016-06-13T19:11:56Z,Add heuristic for Perl6 and Turing (#3049)
linguist,f28573420e886b458bdf75c50874e2162178aa22,Arfon Smith,2016-06-13T19:11:04Z,Set encoding when writing out samples (#3046)
linguist,c471990aa3ced30bb6edb25c3a3530ab90066a36,Charlie Briggs,2016-06-13T19:10:13Z,Add npm-shrinkwrap.json to generated files (#3048)
linguist,baf56666d40fda769b2c1bfacdcc03208a4f72da,Horatiu Lazu,2016-06-07T12:13:12Z,Improve Turing sample (#3040)
linguist,cbbc05f7b89a59a18ce259c6b4f039d8e0baf99c,Arfon Smith,2016-06-07T12:06:18Z,Merge pull request #3007 from russelldavis/russell-fix-docs
linguist,051906727bd17352e30c2d8cc3c5ee3ca8432619,Arfon Smith,2016-06-05T16:22:03Z,Merge pull request #3038 from Alhadis/rst-switch
linguist,cfd5cbaba00122fceea1cfb108c5bdc3d451065a,Alhadis,2016-06-05T10:28:24Z,"Remove ""orphaned"" grammar module"
linguist,caaad886c30ace7f0a78b817737d345ecec6c16c,Alhadis,2016-06-05T10:11:22Z,Kick Travis
linguist,2305f9051c564c99ec92741458e5cf2dae8d7cac,Alhadis,2016-06-04T21:27:32Z,Add new grammar
linguist,392ab2960f169015054a49ef1884d2400932fde0,Alhadis,2016-06-04T21:23:10Z,Remove existing reStructuredText grammar
linguist,1e134b5754868bdd11643b2c06be46ea6d7a5799,Arfon Smith,2016-06-03T20:03:10Z,Merge pull request #3037 from Alhadis/clean-grammar
linguist,d356ea28af42938d582455575062f39c9f2da1b0,Alhadis,2016-06-03T17:57:08Z,Add syntax highlighting for the Clean language
linguist,a015138dcdd9d795e95010866e069b25ef9ed001,Arfon Smith,2016-06-03T01:11:46Z,Merge pull request #3035 from github/cut-release-v4.8.6
linguist,ff99d1bac8a16f3cb1c69fbffaf138cf876245a9,Arfon Smith,2016-06-03T00:30:51Z,Removing grammar that is breaking the build.
linguist,f4af4727a1bb20181d08fb104a8cddb84f13f2e5,Arfon Smith,2016-06-02T17:35:29Z,Bumping to v4.8.6
linguist,2c3069db77b1d0a89330a5fff5fd3349db1e93e6,Arfon Smith,2016-06-02T17:33:17Z,Grammar updates
linguist,8845cd9c58605900f6916d91d58ae4e67bf61f21,Arfon Smith,2016-06-02T17:00:04Z,Merge pull request #3034 from github/3020-local
linguist,090f765c7ee2eaad9a515292c1410286f101d2bf,Arfon Smith,2016-06-02T16:59:06Z,Merge pull request #3001 from snh/lock-not-json
linguist,b58c0e8f3ee073da6660ab1650b09f7d5faaf729,Arfon Smith,2016-06-02T16:55:46Z,Merge branch 'master' into 3020-local
linguist,b4ff1706030c802656bab09ccb0c7a7df39280b3,Arfon Smith,2016-06-02T16:35:08Z,Merge pull request #3033 from github/change-elm-grammar
linguist,3bc540a283acc6e9d7f0c74d893e7ba24d1bbdee,Arfon Smith,2016-06-02T16:29:57Z,Removing un-used grammar reference
linguist,25b761b5065d9537dfc12b80fc51f0d65203015a,Arfon Smith,2016-06-02T16:19:40Z,Moving to Elm community grammar
linguist,1e502808c95a534f4eb2172c7b3cf8d6c89a5a08,Arfon Smith,2016-06-02T16:17:12Z,Removing old Elm grammar
linguist,27e0c8f78a3b235014da1c084882af2ebd76d33c,John Gardner,2016-06-01T18:06:54Z,Fix a misspelt Cpp-ObjDump alias (#3028)
linguist,897218678ebc5a37def38fe1377da15c4c02a95d,John Gardner,2016-06-01T16:41:22Z,Add interpreters for APL and J (#3029)
linguist,4eb33fe3be4310ec2676036597e3743d94052ffa,John Gardner,2016-06-01T16:40:31Z,Use a dedicated grammar for highlighting Nu syntax (#3030)
linguist,0614055efd8e28bd741ce41c77b0daa51c7a8dc5,Alhadis,2016-05-29T05:54:46Z,Merge remote-tracking branch 'upstream/master' into wavefront
linguist,e70f3f595ad704533da10f369abaa02d78cb978d,Nate Whetsell,2016-05-29T01:43:59Z,Add Csound languages (#3005)
linguist,28af996bf914c87f6c2231f64a9ddbe9af519e9f,Vasily Korytov,2016-05-29T01:40:04Z,allow `.pug` to be threated as jade (#3019)
linguist,8bd8f0960cce10dfc1074ab8d5ad7f0947528157,Alhadis,2016-05-27T11:05:43Z,Add sample OBJ/MTL files
linguist,255db77f1f43d0051855f087857eada1caa56b1d,Alhadis,2016-05-27T11:02:39Z,Add support for Wavefront OBJ/MTL files
linguist,8b0b14c9a6d2128c3c7000aea7bb0709d1e1e6ea,John Gardner,2016-05-23T14:49:15Z,Add support for the COLLADA file format (#3009)
linguist,95e83311b6b38c1c36c66ffc5ebfcd97092001cc,John Gardner,2016-05-22T14:03:21Z,"Add ""README.1ST"" to recognised text-file names (#3010)"
linguist,6c07476c453df8edf73bbd1c1b0010048af5fa9e,Russell Davis,2016-05-18T06:48:01Z,Fix incorrect docs on vendored files & restore docs on generated files
linguist,1968f8193c97b649a24061c95c09c1999eb54fde,Steven Honson,2016-05-11T06:38:24Z,Remove .lock from JSON extentions
linguist,5155ad89e8d9b2ae0834656bb733e3847c22bde4,Arfon Smith,2016-05-10T02:55:49Z,Adding back Creole grammar (#2999)
linguist,c2505e8b7b56bb5a196734626739a31f1412a823,Arfon Smith,2016-05-10T02:41:43Z,Update CONTRIBUTING.md
linguist,b38f4b786bf32b2cb11088345607ac323d020503,Arfon Smith,2016-05-09T15:57:33Z,Update languages.yml (#2998)
linguist,1a04c79738efe54dc11af67aa52996845655006a,Kepler Sticka-Jones,2016-05-09T15:42:09Z,Add ECR (Embedded Crystal) (#2996)
linguist,a464c234b82d1be51f9998cdbd2c7eff90c02c93,Arfon Smith,2016-05-07T00:01:59Z,Update languages.yml (#2995)
linguist,aa2319a052686017b1d35fce7526ec36c3e2d65b,Arfon Smith,2016-05-06T23:14:25Z,Cut release v4.8.5 (#2994)
linguist,f22181f47de015e3c729f91aa0c801574801a6a0,Arfon Smith,2016-05-06T21:58:53Z,EJS support (#2993)
linguist,3191ff498d759bed414801fea8c29bd6cc04ed4f,Arfon Smith,2016-05-06T21:36:07Z,2945 local (#2992)
linguist,91ea482ea6080732e8e600a4b15ae67e85f3a945,Paul Chaignon,2016-05-06T21:33:05Z,Add grammar for CLIPS back (#2991)
linguist,905d87a112cddf67026e41f437442bafc45b02b4,Jan Olaf Krems,2016-05-06T21:20:42Z,Detect .js files with source maps as generated (#2984)
linguist,8eae4e56efd2468083eca6269c2727ac0a3057df,Jakub Jirutka,2016-05-06T20:55:33Z,Add support for Alpine Abuild (APKBUILD) (#2934)
linguist,5466fcfd2f8a546f474252385406ccf96fd3b703,Jakub Jirutka,2016-05-06T20:39:42Z,Add support for OpenRC runscripts (#2935)
linguist,176a0e9926253c9447c23f8b1c0f6b85c434e692,Arfon Smith,2016-05-06T19:19:44Z,TLA revisited (#2990)
linguist,aa049b467773658c72c8460a3e93af8299325e37,John Gardner,2016-05-06T18:49:58Z,"Add support for BSDmakefile, .arcconfig, and .JSON-tmLanguage files (#2986)"
linguist,5c19f1f546e56effbf1562f30c24042206a248fa,Paul Chaignon,2016-05-05T15:33:40Z,Limit scope of modeline search (#2967)
linguist,9ae19a1f9470a6f15a1ae70f870c044f55e9d8f5,John Gardner,2016-05-04T21:07:01Z,Add support for World of Warcraft .toc files
linguist,8cf3b7ad515042151d5b4c08589bdb7fd6e825d2,Paul Chaignon,2016-05-04T03:15:20Z,Heuristic for .inc PHP files (#2980)
linguist,03d16835aae59856c5c7a1f8c4ce8efaa37d6976,Paul Chaignon,2016-05-03T01:33:38Z,Remove Terra from Lua group (#2976)
linguist,7174130e46f99a5d51b560035787f6b09d06efb3,Arfon Smith,2016-04-29T20:26:54Z,Bumping to v4.8.4 (#2973)
linguist,59f64c47b16f05f5db0c029a85f68680420f5a9a,Arfon Smith,2016-04-29T19:14:40Z,grammar update
linguist,f3655e8a1eb455960d7a6861fa5b18867732cdc3,Stephen Whipple,2016-04-29T18:45:43Z,Add .app.src as Erlang extension. (#2964)
linguist,f97d796f90bad5f1a04629930abcdcb7fb013180,Paul Chaignon,2016-04-29T18:43:55Z,Add new step required when adding a grammar (#2966)
linguist,d342aa4841fb341c2b4cb4d672548ccc3ba902e3,Peter Jas,2016-04-27T17:11:07Z,"Classify builds, pkgproj, resx and sfproj as XML (#2954)"
linguist,5c655e3b204b5a255a5e8db33316cd85801013d7,Paul Chaignon,2016-04-27T17:09:36Z,Grammar for AutoIt from Sublime Text package (#2961)
linguist,9a0ac4a4771e53db70ec46acb6ba4f18829806cb,Paul Chaignon,2016-04-26T14:39:53Z,Makefile.frag as a Makefile filename (#2969)
linguist,8ea9632ccfabfd27cb678cb1ab5fb551c98d7b26,Brandon Keepers,2016-04-16T14:46:23Z,Merge pull request #2955 from github/verify-licenses
linguist,03ef4f30e8a1e9a8c9b3c849e118a415e3248a53,Brandon Keepers,2016-04-16T14:35:57Z,Remove licenses from removed grammars
linguist,12228fb5256e8dab0fe64215a82952f7696398f9,Brandon Keepers,2016-04-16T14:25:34Z,Proper exit status for script/licensed
linguist,92897046edbb3478fa329ac354f6bcf7f178215e,Brandon Keepers,2016-04-16T14:21:21Z,Remove licenses from Rubygems licenses
linguist,91aa843a4e27bb60744ffa8e04ec7921b4968084,Brandon Keepers,2016-04-16T14:10:44Z,Verify licenses with travis
linguist,c3145d3c08f11048d8de5c755f9f3ad86056f01a,Kepler Sticka-Jones,2016-04-15T18:16:50Z,Add Forge Mod Loader Mod Info file as JSON (#2941)
linguist,1ad21238968b0c6578d11559e6a3ccdf08614d57,Michael Zhou,2016-04-15T18:14:57Z,Add gradlew and a few other filenames to Shell (#2910)
linguist,9b9a256c6011ada83c2109dc3811cade775a1dbc,Bruce,2016-04-15T15:06:11Z,Added GLSL extensions .vsh & .fsh (#2951)
linguist,0f3644d23aad7030a48ed00486341834a4c36ca7,Arfon Smith,2016-04-15T02:55:23Z,Bumping Linguist to v4.8.3 (#2950)
linguist,04d3023f7661e2772134cb72828fd2ecba60f7c5,Arfon Smith,2016-04-15T01:51:15Z,Grammar update
linguist,5c7aa5406af530d563846ed09d2a3d337eb8fadc,Arfon Smith,2016-04-14T04:08:47Z,Adding license text for graphql
linguist,bce676e9027c1aed4e63d8539ee20db18de11050,Garen Torikian,2016-04-14T04:03:02Z,Add support for GraphQL (#2947)
linguist,7c9fd59a99d48e066a37cc6103b9dcba2fa54075,Arfon Smith,2016-04-14T03:59:36Z,Updating licensed information for APL
linguist,b89d1a2e77c391d74d40ae93a4f55f38ac88fc94,John Gardner,2016-04-09T02:51:41Z,"Add ""mkfile"" as a recognised Makefile name (#2938)"
linguist,f8c5015b209dfdf750e8d4b797a03a9870672645,John Gardner,2016-04-08T20:15:21Z,Switch grammar used for APL highlighting (#2937)
linguist,f28cdc8a15fa1fe7f149b56cc13fbe5527877e1a,Arfon Smith,2016-04-03T13:55:26Z,Merge pull request #2936 from github/idris
linguist,0e147f1f66d1ca2ac5e65f1b2ac1c289fc783c43,Arfon Smith,2016-04-03T13:51:05Z,Merge branch 'master' into idris
linguist,a91705724d84379337db65ce47f59ad4221072c4,Arfon Smith,2016-04-03T13:48:59Z,Adding atomic dreams license
linguist,5e3e8133fbac4abb8b3e58ec2facc9607cd81f32,PJB3005,2016-04-03T13:46:21Z,Adds proper grammar for the DM language.
